run_id,band,elapsed_s,temp,target_temp,error,abs_error,temp_velocity,current_kp,current_ki,current_kd,kp,ki,kd,history_score,cost,n_samples,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,tail_mae,jitter_std,overshoot
run_1777944418_5e1043a2,far,15.487984895706177,25.194469451904297,0.0,-25.194469451904297,25.194469451904297,-0.04452087465227021,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,0.0,25.505664825439453,0.0,-25.505664825439453,25.505664825439453,0.0,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777446440_c3e64395,far,315.6957585811615,10.869097709655762,0.0,-10.869097709655762,10.869097709655762,-0.08955049581109716,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,309.6937255859375,11.355775833129885,0.0,-11.355775833129885,11.355775833129885,-0.022781985915505905,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,296.708518743515,12.285179138183594,0.0,-12.285179138183594,12.285179138183594,-0.13215253183183223,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,284.69416069984436,13.21487808227539,0.0,-13.21487808227539,13.21487808227539,-0.15697408364490867,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,278.7430536746979,13.790572166442873,0.0,-13.790572166442873,13.790572166442873,-0.02191760318370544,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,268.1749999523163,14.54349422454834,0.0,-14.54349422454834,14.54349422454834,-0.124698521229857,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,258.69068574905396,15.429627418518066,0.0,-15.429627418518066,15.429627418518066,-0.0295735030349496,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,241.70220184326172,16.71493148803711,0.0,-16.71493148803711,16.71493148803711,-0.11052085604446893,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,233.55227303504944,17.379974365234375,0.0,-17.379974365234375,17.379974365234375,-0.035037876137441346,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,208.69398880004883,19.331626892089844,0.0,-19.331626892089844,19.331626892089844,-0.026459123037008668,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,183.5480673313141,21.195819854736328,0.0,-21.195819854736328,21.195819854736328,-0.06290077759425718,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,174.82951664924622,21.817445755004883,0.0,-21.817445755004883,21.817445755004883,-0.03456720825014128,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,163.81440806388855,22.48368263244629,0.0,-22.48368263244629,22.48368263244629,-0.03806986254786918,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,151.80780577659607,23.194446563720703,0.0,-23.194446563720703,23.194446563720703,-0.023263110667896388,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,137.74590611457825,23.772083282470703,0.0,-23.772083282470703,23.772083282470703,-0.0656818137769398,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,128.7116003036499,24.12761306762696,0.0,-24.12761306762696,24.12761306762696,-0.011356567758189344,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,113.70539379119873,24.4831771850586,0.0,-24.4831771850586,24.4831771850586,-0.009424139747613532,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,73.6997013092041,24.927698135375977,0.0,-24.927698135375977,24.927698135375977,-0.022317574383938468,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
