rank,candidate_id,kp,ki,kd,score,valid,invalid_reason,tail_mae,tail_bias,tail_std,overshoot_max,overshoot_rmse,final_error,final_abs_error,time_to_near_s,time_to_settle_s,mae_full,p90_abs_error_full,max_abs_error_full,min_temp,max_temp,end_temp,control_abs_mean
598,977,43.0,968.0,10.0,83.39995808427697,True,,8.429124853206376,8.429124853206376,0.20022746383003773,8.726285155920777,5.256900660935363,8.726285155920777,8.726285155920777,486.0,522.0,9.676760365467441,21.697832546324936,26.870976105332375,-8.726285155920777,26.870976105332375,-8.726285155920777,26.535113618755137
599,837,40.0,786.0,15.0,83.41569907220463,True,,8.265143007164005,8.265143007164005,0.1268460795639658,8.411116320865403,5.378765299624707,7.99849477456155,7.99849477456155,478.0,514.0,9.774264693836994,21.782339470030276,26.87374071776867,-8.411116320865403,26.87374071776867,-7.99849477456155,30.104307293289228
600,477,39.0,788.0,9.0,83.47857169777473,True,,8.166761937573607,8.166761937573607,0.12946262004164188,8.32810636254726,5.417348336880105,7.902764712569478,7.902764712569478,466.0,500.0,9.66241245966561,21.53342466168106,26.872184202075005,-8.32810636254726,26.872184202075005,-7.902764712569478,30.695232126636146
601,280,43.0,881.0,17.0,83.68435503407397,True,,8.500523059271178,8.500523059271178,0.11278502081946841,8.623514395207167,5.3076653476375135,8.623514395207167,8.623514395207167,492.0,528.0,9.83306765995454,21.963621173053983,26.87382321059704,-8.623514395207167,26.87382321059704,-8.623514395207167,27.330551349657696
602,200,39.0,752.0,14.0,83.72139665186666,True,,8.17036634056513,8.17036634056513,0.20585111666461173,8.451039459730964,5.419167293171367,7.764705803587276,7.764705803587276,472.0,506.0,9.758546316753502,21.71285263746977,26.87373325228691,-8.451039459730964,26.87373325228691,-7.764705803587276,31.21452603968629
603,176,35.0,651.0,8.0,83.7993739441703,True,,7.490617703891587,7.490617703891587,0.49793994351353166,8.657587176305242,5.500088546152964,6.607452908763662,6.607452908763662,440.0,472.0,9.618542301719039,21.46047397479415,26.873138293623924,-8.657587176305242,26.873138293623924,-6.607452908763662,35.865631487751514
604,586,36.0,688.0,7.0,83.8802760755276,True,,7.730778891764372,7.730778891764372,0.37670087306543676,8.516918072593398,5.495627773611243,7.05006573186256,7.05006573186256,446.0,478.0,9.61468540772621,21.41221207082272,26.872592329978943,-8.516918072593398,26.872592329978943,-7.05006573186256,34.368494331836985
605,123,38.0,736.0,10.0,83.9182157704864,True,,8.054714071722424,8.054714071722424,0.2418961031439889,8.436393225740176,5.461384131475469,7.591851761913858,7.591851761913858,460.0,494.0,9.684789007957539,21.538417634367946,26.872924968600273,-8.436393225740176,26.872924968600273,-7.591851761913858,32.10786735074677
606,288,22.0,316.0,12.0,84.05669686644718,True,,5.349469076732641,5.349469076732641,0.44545637225181794,10.04843862173584,5.583968109053728,4.427882539159327,4.427882539159327,334.0,352.0,9.024386821764395,20.736080638691785,26.879033647477627,-10.04843862173584,26.879033647477627,-4.427882539159327,63.357589635745775
607,358,39.0,776.0,8.0,84.1172153605197,True,,8.205892878611596,8.205892878611596,0.1341787589421437,8.373292375530582,5.4668240976969535,7.9348147488126415,7.9348147488126415,462.0,496.0,9.670639019305309,21.497401668131353,26.872250393033028,-8.373292375530582,26.872250393033028,-7.9348147488126415,30.88003297921172
