run_id,start_ts,end_ts,duration_s,num_samples,start_temp,temp_ref,pid_source,far_kp,far_ki,far_kd,mid_kp,mid_ki,mid_kd,near_kp,near_ki,near_kd,mse,mae,cost,tail_mae,overshoot
run_1780053655_f25b4c52,1780054136.3377829,1780055336.048835,1199.7110521793365,601,23.638790130615234,0.0,schedule[1],3,2,50,20,506,47,1,495,3,80.33933269392632,4.824166418711345,2.5529908198256823,0.25804544382592287,0.47905588150024414
run_1780055518_e9bfe56d,1780055999.3490136,1780057199.0601742,1199.71116065979,601,23.46104621887207,0.0,schedule[2],3,2,50,20,519,48,1,524,2,84.51234395077785,5.003079892794291,2.5285043005109853,0.23355892451122554,0.47905588150024414
run_1780057381_516480a2,1780057862.3592007,1780059062.0712104,1199.7120096683502,601,23.683202743530273,0.0,schedule[3],3,2,50,20,519,48,1,495,3,84.40505050279901,5.035723985036214,2.537125076739574,0.24217970073981443,0.47905588150024414
run_1780059244_43271aeb,1780059725.3710027,1780060925.091651,1199.7206482887268,601,23.549909591674805,0.0,schedule[4],2,2,48,20,506,47,1,524,2,82.86374587188828,4.9758434053262075,2.5475890034562316,0.2526436274564719,0.47905588150024414
run_1780061107_41a1a796,1780061588.3823369,1780062788.0904608,1199.708123922348,601,23.772083282470703,0.0,schedule[5],2,2,48,20,506,47,1,495,3,83.0982924339983,4.979288604259491,2.5447848561529547,0.24983948015319515,0.47905588150024414
run_1780062970_c28150ce,1780063451.3934734,1780064651.1052983,1199.7118248939514,601,23.86095428466797,0.0,schedule[6],2,2,48,20,519,48,1,524,2,83.74345629930336,4.995816320975622,2.544220489359042,0.2492751133592823,0.47905588150024414
run_1780064833_6be69cae,1780065314.4050083,1780066514.1232004,1199.718192100525,601,23.994287490844727,0.0,schedule[7],2,2,48,20,519,48,1,495,3,85.19426355529158,5.048410734732946,2.988465247661206,0.25181091711418013,0.5231304168701172
run_1780074340_140f2bef,1780074342.3619745,1780075542.1843722,1199.8223977088928,601,20.48548698425293,0.0,schedule[0],20,1000,46,20,455,26,20,150,1,80.2380583152144,5.498053844769796,202.41824323607693,1.1111585470346304,4.486725807189941
run_1780075724_4d8d0c41,1780076205.477359,1780077405.1958508,1199.7184917926788,601,27.907793045043945,0.0,schedule[1],20,1000,46,20,455,26,20,62,50,138.0395929946863,7.095024585723877,63.47870051576548,0.698292558112841,2.5056018829345703
run_1780077587_ee76cc68,1780078068.4900854,1780079267.2095504,1198.7194650173187,600,28.90985107421875,0.0,schedule[2],20,1000,46,20,457,14,20,150,1,146.85068482134932,7.668227107922236,154.37089723171874,1.1374775624414633,3.914504051208496
run_1780079449_24e0012d,1780079930.5009754,1780081129.217942,1198.7169666290283,600,28.525257110595703,0.0,schedule[3],20,1000,46,20,457,14,20,62,50,146.49128469603355,7.410293345053991,67.99204380007332,0.7206108652787402,2.5936737060546875
run_1780081311_8952b2db,1780081792.5130403,1780082992.2190468,1199.706006526947,601,28.861785888671875,0.0,schedule[4],6,1000,49,20,455,26,20,150,1,143.36092835212128,7.259368232488632,57.14941364076093,0.8152121711709646,2.3734827041625977
