decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,horizon_steps,optimize_ms
36,350.0,-0.4883272610604763,0.4883272610604763,1.0,15.0,1.0,1.0,1.0,18.0,True,50.83551317468425,53.09543549602936,0.4383290968835354,0.22394806429247346,0.19521640526751677,0.04093604534864426,0.10974192733305932,0.5166399162567302,768,30,95001.82880001375
37,360.0,-0.32306838408112526,0.32306838408112526,1.0,1.0,18.0,1.0,1.0,20.0,True,35.76569548854274,35.774832084716614,0.30657320097088814,0.16324748426541574,0.13671164313952128,0.009133715182542801,0.08921697007340781,0.06077371254627639,768,30,94275.64690000145
38,370.0,-0.2507559098303318,0.2507559098303318,1.0,1.0,20.0,1.0,1.0,20.0,False,27.44090244419169,27.44090244419169,0.2375112548470497,0.1170140266107936,0.091952084004879,0.017227206379175186,0.07617607058617312,0.0,768,30,94545.27719999896
39,380.0,-0.18590601906180382,0.18590601906180382,1.0,1.0,20.0,1.0,1.0,20.0,False,19.851818674782404,19.851818674782404,0.1736338473856449,0.07861163120467955,0.058093306040003276,0.0008530467166565359,0.05901990775559874,0.0,768,30,95363.80460002692
40,390.0,-0.12842204049229622,0.12842204049229622,1.0,1.0,20.0,1.0,7.0,4.0,True,13.214342654818521,13.35691771057586,0.11751484870910645,0.04402791354626977,0.05477267738121251,0.004101809056010097,0.06207645842879958,0.4862020657937641,768,30,94918.93849999178
41,400.0,-0.07507336512207985,0.07507336512207985,1.0,7.0,4.0,1.0,17.0,1.0,True,7.137825019190133,7.35152786689906,0.06417012587189674,0.01841700047681881,0.07561406802075604,0.06300234043737873,0.06038249904198991,0.09134357890740172,768,30,94489.33959996793
42,410.0,-0.01995573565363884,0.01995573565363884,1.0,17.0,1.0,1.0,15.0,1.0,True,1.0365414469491196,1.046053709291853,0.008732080459594727,0.0015942524805567034,0.06585442793245116,0.02929437893908471,0.043838096476482735,0.0011558563947740256,768,30,95061.86030001845
43,420.0,0.035874299705028534,-0.035874299705028534,1.0,15.0,1.0,1.0,15.0,8.0,True,0.0988387575079811,0.12146960016310329,0.0,0.0,0.07409996856198026,0.08691368612926453,0.019217420395916555,0.21270799391196737,768,30,95529.99979996821
44,430.0,0.07328110933303833,-0.07328110933303833,1.0,15.0,8.0,1.0,14.0,19.0,True,0.06799091722019507,3.7785328915515293,0.0,0.0,0.06444858007986719,0.029464315332006663,0.018513242175991283,0.33425591862357307,768,30,94992.398100032
45,440.0,0.06458986544748768,-0.06458986544748768,1.0,14.0,19.0,1.0,21.0,20.0,True,0.09243254881913641,5.946816918396744,0.0,0.0,0.08197046488373114,0.02858933591778623,0.03071861910010535,0.030654968328637584,768,30,95199.55000001937
46,450.0,0.056672885788429994,-0.056672885788429994,1.0,21.0,20.0,1.0,34.0,15.0,True,0.1399327851909629,5.216005786489539,0.0,0.0,0.11661615334596717,0.027634462057903875,0.050635562114155784,0.15211992645059544,768,30,95988.71169995982
47,460.0,0.06002317718957784,-0.06002317718957784,1.0,34.0,15.0,1.0,46.0,18.0,True,0.13259298965776528,10.07562622980345,0.0,0.0,0.14302404988799633,0.019480054921586998,0.0466669561732453,0.09142398728819184,768,30,95479.01349997846
48,470.0,0.11969954125379445,-0.11969954125379445,1.0,46.0,18.0,1.0,56.0,20.0,True,0.13534598706742268,4.4419021201767155,0.0,0.0,0.15914626387893804,0.03390528047748376,0.042976807602518804,0.061047884785559385,768,30,96345.81170004094
49,480.0,0.15676803491805913,-0.15676803491805913,1.0,56.0,20.0,1.0,73.0,20.0,True,0.1514648980274386,3.472608578333716,0.0,0.0,0.17614309879087767,0.04002983653481351,0.04806155610415025,0.009824779355579218,768,30,95897.1695000073
50,490.0,0.19296518690680386,-0.19296518690680386,1.0,73.0,20.0,1.0,99.0,20.0,True,0.16505627737705364,2.115181394244566,0.0,0.0,0.19337957430931663,0.0645073928826605,0.04698820237126971,0.015026133132062332,768,30,95652.0624999539
51,500.0,0.22153661377524259,-0.22153661377524259,1.0,99.0,20.0,1.0,110.0,20.0,True,0.1753408641208305,0.196208255605761,0.0,0.0,0.1811242817818614,0.03250118694995763,0.06140092109388341,0.006357210171257141,768,30,95362.2430000105
52,510.0,0.23658113159035565,-0.23658113159035565,1.0,110.0,20.0,36.0,48.0,20.0,True,0.16630680210745358,1.3534786543838038,0.0,0.0,0.15757686361466766,0.11118927575444104,0.03752866191170283,0.41394676838938615,768,30,95716.5559999994
53,520.0,0.2060862218568218,-0.2060862218568218,36.0,48.0,20.0,41.0,122.0,20.0,True,0.11725070111075865,0.13576649017435266,0.0,0.0,0.035252934146653085,0.04607437499362277,0.04321746594901927,0.0727994886578108,768,30,95678.29189996701
54,530.0,0.0758132075497997,-0.0758132075497997,41.0,122.0,20.0,38.0,20.0,18.0,True,0.09003951238729953,0.1074721727525944,0.0,0.0,0.0575037313074669,0.09661753803084139,0.014656253802139984,0.09174895061054902,768,30,95689.09619998885
55,540.0,0.06507140369649278,-0.06507140369649278,38.0,20.0,18.0,38.0,20.0,18.0,False,0.14448875089417104,0.14448875089417104,0.0,0.0,0.066551382196,0.1435341979522491,0.029705687739423243,0.0,768,30,96089.90909997374
56,550.0,0.04859628872509347,-0.04859628872509347,38.0,20.0,18.0,34.0,15.0,20.0,True,0.10233740820103823,0.21262906272445792,0.0,0.0,0.10977042738422824,0.10518152176427975,0.013511472824579927,0.07696161928928529,768,30,95932.81730002491
57,560.0,0.1301311996721779,-0.1301311996721779,34.0,15.0,20.0,34.0,15.0,20.0,False,0.10583350203529233,0.10583350203529233,0.0,0.0,0.11024559836520591,0.12166334598350659,0.011476354685248926,0.0,768,30,95886.7436000146
58,570.0,0.1264864686600049,-0.1264864686600049,34.0,15.0,20.0,34.0,15.0,20.0,False,0.15142029004540603,0.15142029004540603,0.0,0.0,0.11396151773045252,0.17669369935083523,0.020140568411948955,0.0,768,30,96082.91650004685
59,580.0,0.10689597164309816,-0.10689597164309816,34.0,15.0,20.0,33.0,9.0,20.0,True,0.10721500505118128,0.20876974883518462,0.0,0.0,0.08925072030930702,0.11149651133018779,0.016746891124380006,0.012282307546596859,768,30,96559.81419997988
60,590.0,0.10501531838235678,-0.10501531838235678,33.0,9.0,20.0,33.0,9.0,20.0,False,0.11163865173934992,0.11163865173934992,0.0,0.0,0.09030086372683097,0.11504647812398616,0.018027619965995324,0.0,768,30,96350.05319997435
61,600.0,0.08802640019712271,-0.08802640019712271,33.0,9.0,20.0,33.0,9.0,20.0,False,0.11404045246611284,0.11404045246611284,0.0,0.0,0.09327998117369134,0.11119247142050881,0.019894110260560087,0.0,768,30,95899.67329998035
62,610.0,0.07031914545950713,-0.07031914545950713,33.0,9.0,20.0,33.0,9.0,20.0,False,0.10791862386396195,0.10791862386396195,0.0,0.0,0.09803477686194431,0.10148531485174317,0.018784505532850746,0.0,768,30,96172.7821000386
63,620.0,0.06414981879788684,-0.06414981879788684,33.0,9.0,20.0,36.0,1.0,20.0,True,0.015135968792132595,0.08867312268644245,0.0,0.0,0.010236452207027468,0.0072107369705918245,0.004563409634904151,0.03564905956228875,768,30,96114.18070003856
64,630.0,0.00930388586857589,-0.00930388586857589,36.0,1.0,20.0,36.0,1.0,20.0,False,0.007538701214987682,0.007538701214987682,0.0,0.0,0.008599300472027002,0.00613591219735099,0.0013754425109533933,0.0,768,30,95902.13329996914
65,640.0,0.00975024614308495,-0.00975024614308495,36.0,1.0,20.0,36.0,1.0,20.0,False,0.007836189875612961,0.007836189875612961,0.0,0.0,0.008066435657838156,0.0056514602756578824,0.0016985863031081946,0.0,768,30,96618.25780000072
66,650.0,0.010576667991699651,-0.010576667991699651,36.0,1.0,20.0,36.0,1.0,20.0,False,0.0071248697926669935,0.0071248697926669935,0.0,0.0,0.007227552405735574,0.005153358891220705,0.0015513399329547628,0.0,768,30,96042.8508000332
67,660.0,0.009161474619759247,-0.009161474619759247,36.0,1.0,20.0,36.0,1.0,20.0,False,0.005842806217667952,0.005842806217667952,0.0,0.0,0.006329638326769782,0.00398613574270712,0.0012919053404802177,0.0,768,30,96585.27249994222
68,670.0,0.007878901589720044,-0.007878901589720044,36.0,1.0,20.0,36.0,1.0,20.0,False,0.005264335990894828,0.005264335990894828,0.0,0.0,0.005488315629190765,0.002576317964667396,0.0014392569413614884,0.0,768,30,96198.2844999875
69,680.0,0.0072107369705918245,-0.0072107369705918245,36.0,1.0,20.0,36.0,1.0,20.0,False,0.004670549995496159,0.004670549995496159,0.0,0.0,0.004479693493916178,0.0005878918227608665,0.0017403326926662451,0.0,768,30,95936.0725999577
70,690.0,0.00613591219735099,-0.00613591219735099,36.0,1.0,20.0,34.0,15.0,15.0,True,0.04147972971713057,0.10838315473261564,0.0,0.0,0.04030027664169514,0.02662810025503859,0.009282993739376614,0.15396367825190177,768,30,98961.27759997034
71,700.0,0.04045530553412391,-0.04045530553412391,34.0,15.0,15.0,34.0,15.0,15.0,False,0.0364151894829023,0.0364151894829023,0.0,0.0,0.03880814492028246,0.013940774777438492,0.010841586555063282,0.0,768,30,97140.93579998007
72,710.0,0.048776218194689136,-0.048776218194689136,34.0,15.0,15.0,34.0,15.0,15.0,False,0.03787365693148206,0.03787365693148206,0.0,0.0,0.03202778480820901,7.023377111181617e-05,0.015716491542142174,0.0,768,30,97883.64069996169
