elapsed_s,temp,temp_ref
734.0,-0.1296364376321435,0.0
736.0,-0.1183237200602889,0.0
738.0,-0.10708801541477442,0.0
740.0,-0.09732805844396353,0.0
742.0,-0.0901500596664846,0.0
744.0,-0.0863002014812082,0.0
746.0,-0.08593148190993816,0.0
748.0,-0.08896637370344251,0.0
750.0,-0.09498158365022391,0.0
752.0,-0.10327205143403262,0.0
754.0,-0.11293566494714469,0.0
756.0,-0.12295144877862185,0.0
758.0,-0.13227949559222907,0.0
760.0,-0.13991653302218765,0.0
762.0,-0.1453256233362481,0.0
764.0,-0.14809915621299297,0.0
766.0,-0.14804659457149683,0.0
768.0,-0.14513182522932766,0.0
770.0,-0.13966950144822476,0.0
772.0,-0.13213184824417112,0.0
774.0,-0.12321547581086634,0.0
776.0,-0.11387475928495405,0.0
778.0,-0.10525433508882998,0.0
780.0,-0.0982992614081013,0.0
782.0,-0.09371825562993763,0.0
784.0,-0.0919023278329405,0.0
786.0,-0.09289774623903213,0.0
788.0,-0.09651792956719873,0.0
790.0,-0.10230426140333293,0.0
792.0,-0.10959290595928906,0.0
794.0,-0.11758776450733421,0.0
796.0,-0.12544100614468334,0.0
798.0,-0.1323439788466203,0.0
800.0,-0.13762036686966894,0.0
802.0,-0.1409408207910019,0.0
804.0,-0.14196193252428202,0.0
806.0,-0.14061116682569264,0.0
808.0,-0.13705100584047614,0.0
810.0,-0.13163850409182487,0.0
812.0,-0.12483880854415474,0.0
814.0,-0.11738614038767992,0.0
816.0,-0.11015880386548815,0.0
818.0,-0.10393476625176845,0.0
820.0,-0.09931192918884335,0.0
822.0,-0.09678759262169478,0.0
824.0,-0.0964773191299173,0.0
826.0,-0.09835319872217951,0.0
828.0,-0.10214907419140218,0.0
830.0,-0.10740608325431822,0.0
832.0,-0.1135293675979483,0.0
834.0,-0.11985294962505577,0.0
836.0,-0.1257113919054973,0.0
838.0,-0.13051270483265398,0.0
840.0,-0.13380042462813435,0.0
842.0,-0.13536215048952727,0.0
844.0,-0.13506187940220116,0.0
846.0,-0.132930631742056,0.0
848.0,-0.1291919660216081,0.0
850.0,-0.1242145297510433,0.0
852.0,-0.11854582861269591,0.0
854.0,-0.11279457876662491,0.0
856.0,-0.10757620562071679,0.0
858.0,-0.10335591225157259,0.0
860.0,-0.10061226411926327,0.0
862.0,-0.09954632294102339,0.0
864.0,-0.10020278090814827,0.0
866.0,-0.10245604719239054,0.0
868.0,-0.1060145844166982,0.0
870.0,-0.1104598266465473,0.0
872.0,-0.1152947603186476,0.0
874.0,-0.11999858239869354,0.0
876.0,-0.12408312339539407,0.0
878.0,-0.12714420025440631,0.0
880.0,-0.1289043835058692,0.0
882.0,-0.12924547329748748,0.0
884.0,-0.1281610919322702,0.0
886.0,-0.12575429199932842,0.0
888.0,-0.12230253323650686,0.0
890.0,-0.11817728692403762,0.0
892.0,-0.11379224631673424,0.0
894.0,-0.10956544114014832,0.0
896.0,-0.10592096938489703,0.0
898.0,-0.10323362529015867,0.0
900.0,-0.10176503238471923,0.0
902.0,-0.10159485215990571,0.0
904.0,-0.10269488044286845,0.0
906.0,-0.10490237408521352,0.0
908.0,-0.10794306615571259,0.0
910.0,-0.11146457399445353,0.0
912.0,-0.11507649090344785,0.0
914.0,-0.11839310032519279,0.0
916.0,-0.12107419757376192,0.0
918.0,-0.12285876657551853,0.0
920.0,-0.12358967074396787,0.0
922.0,-0.1232324064403656,0.0
924.0,-0.12184105370397447,0.0
926.0,-0.11956775699945865,0.0
928.0,-0.11664547374675749,0.0
930.0,-0.1133650485353428,0.0
932.0,-0.11004730336571811,0.0
934.0,-0.10701260575297056,0.0
936.0,-0.10455784270743607,0.0
938.0,-0.10293937764799921,0.0
940.0,-0.10228079323860584,0.0
942.0,-0.10259803372173337,0.0
944.0,-0.10381784871424315,0.0
946.0,-0.10577409015240846,0.0
948.0,-0.10822860034386395,0.0
950.0,-0.11089918482321082,0.0
952.0,-0.1134912625348079,0.0
954.0,-0.11572941904159961,0.0
956.0,-0.11738536867051153,0.0
958.0,-0.11828920826519607,0.0
960.0,-0.11837796923646238,0.0
962.0,-0.11766082326357719,0.0
964.0,-0.11621748037578072,0.0
966.0,-0.11419616975763347,0.0
968.0,-0.11179775172786321,0.0
970.0,-0.1092556194489589,0.0
972.0,-0.10681314986140933,0.0
974.0,-0.10469957497844007,0.0
976.0,-0.10313690359180328,0.0
978.0,-0.10225714497209992,0.0
980.0,-0.10210955118236598,0.0
982.0,-0.10266867103928234,0.0
984.0,-0.10384238928963896,0.0
986.0,-0.10547687007056084,0.0
988.0,-0.10737519453687128,0.0
990.0,-0.10931988024094608,0.0
992.0,-0.11109664103423711,0.0
994.0,-0.11251657117099967,0.0
996.0,-0.11342669533041772,0.0
998.0,-0.11373350500070956,0.0
1000.0,-0.11343178105016705,0.0
1002.0,-0.1125551553996047,0.0
1004.0,-0.11119201801193412,0.0
1006.0,-0.10947629679867532,0.0
1008.0,-0.1075734132755315,0.0
1010.0,-0.10566352620662656,0.0
1012.0,-0.10392343786952551,0.0
1014.0,-0.10252800221496727,0.0
1016.0,-0.10159874938835856,0.0
1018.0,-0.10120333811210003,0.0
1020.0,-0.1013487756572431,0.0
1022.0,-0.10198401809611823,0.0
1024.0,-0.10301478950714227,0.0
1026.0,-0.10430845092923846,0.0
1028.0,-0.10570955717412289,0.0
1030.0,-0.10705710864567664,0.0
1032.0,-0.10820014913042542,0.0
1034.0,-0.10900809230224695,0.0
1036.0,-0.10939549117756542,0.0
1038.0,-0.10932387095090235,0.0
1040.0,-0.1088132103686803,0.0
1042.0,-0.107911547042022,0.0
1044.0,-0.1067046855823719,0.0
1046.0,-0.10530641125660622,0.0
1048.0,-0.10384652807988459,0.0
1050.0,-0.10245754462812329,0.0
1052.0,-0.10127503166586393,0.0
1054.0,-0.10040072687115753,0.0
1056.0,-0.09990032201312715,0.0
1058.0,-0.09979908572859131,0.0
1060.0,-0.10007994502666406,0.0
1062.0,-0.10068629783927463,0.0
1064.0,-0.1015295195102226,0.0
1066.0,-0.1024993265455123,0.0
1068.0,-0.10347621163236909,0.0
1070.0,-0.10434431451722048,0.0
1072.0,-0.10500328705529682,0.0
1074.0,-0.10537793798721395,0.0
1076.0,-0.10542492355307331,0.0
1078.0,-0.1051365212406381,0.0
1080.0,-0.10454552104783943,0.0
1082.0,-0.1037041999734356,0.0
1084.0,-0.10268850923603168,0.0
