decision_idx,elapsed_s,temp,error,band,old_kp,old_ki,old_kd,kp,ki,kd,changed,rank_score,history_score,source,horizon_overshoot_max,horizon_mae,horizon_final_abs_error,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,horizon_steps,optimize_ms
28,810.0,0.012368103940389119,-0.012368103940389119,near,4.0,108.0,16.0,4.0,215.0,17.0,True,0.02930952407957838,0.4349956512451172,run_history,0.004562759360851487,0.0030654066510275393,0.004562759360851487,3.420445293054432e-07,0.000440274682064071,0.004493992821765671,32,30,6051.5096000017365
29,840.0,-0.0006711439673381392,0.0006711439673381392,near,4.0,215.0,17.0,1.0,95.0,14.0,True,0.03426173818788648,0.4906268119812011,run_history,0.015336565415054793,0.004566672265112478,0.000772272494941717,1.6452789579540945e-05,0.0034130919536029727,0.005147272534134401,32,30,5964.553600002546
30,870.0,0.0035724448061955627,-0.0035724448061955627,near,1.0,95.0,14.0,2.0,222.0,14.0,True,0.044939902814842995,0.6994061470031738,run_history,0.012551404335681582,0.004755066354361285,0.0010583652947389055,5.0864919178510705e-06,0.0020168274528134197,0.005209442618405167,32,30,5891.2232000002405
31,900.0,-0.012422034316841746,0.012422034316841746,near,2.0,222.0,14.0,2.0,222.0,14.0,False,0.014310708431306676,0.0,current_pid,0.017981119995965855,0.007533249346306547,0.011466689949884312,3.0017947896241195e-06,0.0015268926827361454,0.006774457290210506,32,30,5990.05579999357
32,930.0,-0.0010583652947389055,0.0010583652947389055,near,2.0,222.0,14.0,1.0,95.0,14.0,True,0.037947743942200234,0.4906268119812011,run_history,0.016797191306977766,0.007515882802060029,0.002072652645438211,1.0340499402605098e-05,0.002746879937556765,0.00589018004167754,32,30,5934.820900001796
33,960.0,-0.007164571976318257,0.007164571976318257,near,1.0,95.0,14.0,1.0,95.0,14.0,False,0.01700031013620048,0.0,current_pid,0.022589933902054327,0.007484700509667164,0.014152771018416388,4.359492873829881e-05,0.005374824758699356,0.009472014697795017,32,30,6074.686799998744
34,990.0,-0.002072652645438211,0.002072652645438211,near,1.0,95.0,14.0,2.0,228.0,7.0,True,0.01260320121382567,0.0824170112609863,run_history,0.012111734442441957,0.003734864691068651,0.004282381898519816,8.984181195820654e-06,0.002529443414773439,0.0047385017785118826,32,30,6033.094500002335
35,1020.0,0.004673470666602952,-0.004673470666602952,near,2.0,228.0,7.0,2.0,228.0,7.0,False,0.004641406037108755,0.0,current_pid,0.0042944565539073665,0.0019869091401233164,0.0009927802011588938,2.5365757748266677e-06,0.0012882861744777795,0.002651960321210612,32,30,6221.120200003497
36,1050.0,-0.004282381898519816,0.004282381898519816,near,2.0,228.0,7.0,2.0,228.0,7.0,False,0.003984014985257304,0.0,current_pid,0.0042944565539073665,0.0019381682155047504,0.0033588041815164615,6.147358716792214e-07,0.0005866063291658316,0.0020452320338808744,32,30,6063.851600003545
37,1080.0,0.0009927802011588938,-0.0009927802011588938,near,2.0,228.0,7.0,2.0,228.0,7.0,False,0.0036379960330627267,0.0,current_pid,0.004207623625006818,0.0021806410842790075,0.0014383595035951657,1.5672424952751984e-07,0.00026684541789195307,0.0014571982245341918,32,30,6297.533500008285
38,1110.0,-0.0033588041815164615,0.0033588041815164615,near,2.0,228.0,7.0,2.0,228.0,7.0,False,0.004014839089745314,0.0,current_pid,0.004576915449547414,0.002828274936443146,0.004007671928889067,3.9964502378411666e-08,0.00014670474744912882,0.0011865241887997894,32,30,6363.560400001006
39,1140.0,-0.0014383595035951657,0.0014383595035951657,near,2.0,228.0,7.0,1.0,207.0,3.0,True,0.009951109524857386,0.0824170112609863,run_history,0.006224286981819205,0.002640005820906784,0.003206139831377186,3.968536953110824e-06,0.0017905713004814782,0.003186284603948175,32,30,6191.950399996131
40,1170.0,-0.000988818944392733,0.000988818944392733,near,1.0,207.0,3.0,1.0,205.0,1.0,True,0.010476827745645925,0.1379933357238769,run_history,0.003776403106826365,0.001604392709956907,0.0012657794658252897,1.7030758183449493e-06,0.0011179890884548136,0.001971065173676828,32,30,6153.0197999964
