rank,candidate_id,kp,ki,kd,cost,tail_mae,tail_bias,tail_std,overshoot_max,overshoot_rmse,final_error,final_abs_error,time_to_near_s,time_to_settle_s,mae_full,min_temp,max_temp,end_temp
121,153,17.0,455.0,13.0,65.60414939180774,0.9408150208213472,0.9408150208213472,0.25239141178284913,6.424545701593161,2.4960249601263635,0.5833632983267307,0.5833632983267307,418.0,442.0,7.109000572425623,-6.424545701593161,26.908212449401617,-0.5833632983267307
122,234,19.0,799.0,13.0,66.14481376554325,2.4849308031940347,2.4849308031940347,0.4625526305066891,6.250945983454585,2.9337025219800084,1.8382936251000501,1.8382936251000501,480.0,512.0,8.125003876467332,-6.250945983454585,26.873405024409294,-1.8382936251000501
123,256,16.0,326.0,13.0,66.42997609130035,0.250907655576759,0.250907655576759,0.12730635635262727,6.6065418515354395,2.3294277122539615,0.09999348438577726,0.09999348438577726,394.0,416.0,6.645730119066527,-6.6065418515354395,26.93234126828611,-0.09999348438577726
124,112,19.0,836.0,8.0,66.44147483375824,2.4954473946504883,2.4954473946504883,0.4428260463575818,6.278948158083949,2.9403897200601192,1.8702656701789238,1.8702656701789238,480.0,512.0,8.228498826773722,-6.278948158083949,26.87238311767578,-1.8702656701789238
125,469,16.0,314.0,11.0,66.998202296202,0.1905509259950062,0.1905509259950062,0.09890401331322596,6.672000251761347,2.323204494515544,0.07639369187381817,0.07639369187381817,390.0,410.0,6.571296389603692,-6.672000251761347,26.914416348561645,-0.07639369187381817
126,77,16.0,295.0,18.0,67.41064291927884,0.10892124758899946,0.0708881818532515,0.14272572032314734,6.721060439944267,2.378903156523072,-0.03950882417120738,0.03950882417120738,398.0,420.0,6.655382176730539,-6.721060439944267,26.971157006919384,0.03950882417120738
127,26,17.0,397.0,13.0,67.63299624600799,0.6355834088446006,0.6355834088446006,0.21808274552714824,6.67166429390636,2.513021116425911,0.34345705067244126,0.34345705067244126,406.0,428.0,6.964588324521622,-6.67166429390636,26.905034160241485,-0.34345705067244126
128,150,17.0,397.0,14.0,67.73987388225778,0.6435672086412981,0.6435672086412981,0.23040249265931997,6.681217627599835,2.525038090106787,0.33785830257693306,0.33785830257693306,408.0,430.0,6.987869471101731,-6.681217627599835,26.91403920017183,-0.33785830257693306
129,355,20.0,995.0,12.0,68.17660560530612,3.365278368639615,3.365278368639615,0.6995640339849792,6.32354311645031,3.168845016556641,2.452228110341821,2.452228110341821,512.0,546.0,8.650692887643624,-6.32354311645031,26.870707541704178,-2.452228110341821
130,103,16.0,282.0,16.0,68.33364224952862,0.06485560745219021,0.0010346403518546718,0.08405979565243588,6.821868468075991,2.3809454766824727,-0.01614412698063461,0.01614412698063461,392.0,412.0,6.600717843359016,-6.821868468075991,26.955477576702833,0.01614412698063461
131,249,20.0,976.0,11.0,68.56792890517278,3.2736329288208017,3.2736329288208017,0.6742569129104407,6.376259390322957,3.1746532393321187,2.38914723333437,2.38914723333437,508.0,540.0,8.621446256229634,-6.376259390322957,26.87078982591629,-2.38914723333437
132,23,17.0,368.0,19.0,68.80075273074493,0.5301365688418513,0.5301365688418513,0.28136605822609245,6.8041692320257425,2.5814271390959873,0.17648162506520748,0.17648162506520748,410.0,434.0,7.021873809564859,-6.8041692320257425,26.95401589386165,-0.17648162506520748
133,197,20.0,904.0,15.0,69.04519313960985,3.154166358028884,3.154166358028884,0.6559749618174361,6.442562827898655,3.1871467125260784,2.274822043371387,2.274822043371387,498.0,532.0,8.493288114800137,-6.442562827898655,26.871971175074577,-2.274822043371387
134,266,19.0,669.0,19.0,69.06156560666405,2.2187369237183625,2.2187369237183625,0.5068195108940965,6.582980459672399,3.003619677763787,1.5192286615492776,1.5192286615492776,466.0,496.0,8.05621583604603,-6.582980459672399,26.91146330535412,-1.5192286615492776
135,15,16.0,280.0,9.0,69.10970194390687,0.02502467294378835,0.004422022507928856,0.036620274994688035,6.906552758067846,2.366584867097427,-0.0016791055745670747,0.0016791055745670747,382.0,400.0,6.464571920979219,-6.906552758067846,26.89332351833582,0.0016791055745670747
136,397,20.0,841.0,14.0,70.23694097330169,2.9162565662228004,2.9162565662228004,0.6154498094650714,6.59726641519228,3.1998882556628034,2.0805907008470967,2.0805907008470967,486.0,518.0,8.385987236690417,-6.59726641519228,26.872565746307373,-2.0805907008470967
137,375,17.0,344.0,15.0,70.38194743532863,0.3167272821305449,0.3167272821305449,0.1936851632319728,6.9921179711818695,2.581793184430168,0.09439571952680126,0.09439571952680126,398.0,418.0,6.885295976501753,-6.9921179711818695,26.91967354156077,-0.09439571952680126
138,325,19.0,594.0,6.0,71.85808815950162,1.5963284150594752,1.5963284150594752,0.3610450044103474,6.953153312264476,2.9797425602500622,1.099408239184413,1.099408239184413,428.0,454.0,7.7638955515332055,-6.953153312264476,26.874707147479057,-1.099408239184413
139,440,20.0,813.0,6.0,72.02690807894446,2.6026926647516317,2.6026926647516317,0.5181789427494136,6.822221418842673,3.2305797211009137,1.885823508782778,1.885823508782778,462.0,492.0,8.326830437443084,-6.822221418842673,26.871835976839066,-1.885823508782778
140,279,20.0,754.0,14.0,72.55438979543591,2.600994321396991,2.600994321396991,0.5885670953553976,6.875956062227488,3.2507182820409306,1.7991026081726886,1.7991026081726886,466.0,496.0,8.235154904547962,-6.875956062227488,26.873570695519447,-1.7991026081726886
141,413,19.0,561.0,5.0,72.68836517881452,1.436076337899874,1.436076337899874,0.3399150866312535,7.059672555013094,2.983860939454605,0.9712114949361421,0.9712114949361421,420.0,444.0,7.685669081887269,-7.059672555013094,26.87493869662285,-0.9712114949361421
142,228,18.0,385.0,15.0,73.44296922590243,0.5538817234707392,0.5538817234707392,0.27428705162668515,7.264192381873727,2.8161583710755718,0.2200403157621622,0.2200403157621622,402.0,424.0,7.134653870689993,-7.264192381873727,26.890322230756283,-0.2200403157621622
143,118,17.0,286.0,11.0,73.51066185310076,0.05503551292544132,-0.03243469151485798,0.05393676673027331,7.342474166303873,2.6126690773398438,-0.007832587542907277,0.007832587542907277,380.0,400.0,6.625636340561376,-7.342474166303873,26.88103424012661,0.007832587542907277
144,22,16.0,225.0,9.0,73.52699577217517,0.2750971508211906,-0.2750971508211906,0.1660591411554228,7.315090423449874,2.536333914448427,-0.035929632555053104,0.035929632555053104,372.0,388.0,6.556124400349788,-7.315090423449874,26.88951652869582,0.035929632555053104
145,496,21.0,998.0,9.0,73.86293773606349,3.6191723035542074,3.6191723035542074,0.7827991758345766,6.856019888131414,3.48395797294985,2.5843339265557006,2.5843339265557006,494.0,528.0,8.79791739661101,-6.856019888131414,26.869848892092705,-2.5843339265557006
146,171,17.0,265.0,5.0,75.08663230824583,0.13310889808222265,-0.13310889808222265,0.05633865021717384,7.490306563675404,2.676558367440532,-0.04457689660193864,0.04457689660193864,380.0,398.0,6.751361591493393,-7.490306563675404,26.87986121326685,0.04457689660193864
147,51,20.0,670.0,8.0,75.37332488848762,2.066440475385695,2.066440475385695,0.4956273538060129,7.235982093960047,3.2846417507093086,1.3984995931969024,1.3984995931969024,436.0,462.0,8.039878345582693,-7.235982093960047,26.87366519868374,-1.3984995931969024
148,376,19.0,471.0,5.0,75.50517685312738,0.966978657028533,0.966978657028533,0.2902652151001427,7.410240016877651,3.0210812937300515,0.5813308395445347,0.5813308395445347,400.0,422.0,7.440847603812193,-7.410240016877651,26.87605118751526,-0.5813308395445347
149,82,19.0,452.0,16.0,75.88580261830079,1.0325922503514642,1.0325922503514642,0.4130051335438267,7.439369101077318,3.0699516598547376,0.5060335808084346,0.5060335808084346,414.0,438.0,7.516046064225666,-7.439369101077318,26.878769040107727,-0.5060335808084346
150,126,19.0,447.0,11.0,76.52378085286426,0.8703030961772773,0.8703030961772773,0.32159408066639533,7.526228753849864,3.061457669740625,0.46078635571029736,0.46078635571029736,402.0,424.0,7.378198574918218,-7.526228753849864,26.877693600952625,-0.46078635571029736
151,252,21.0,805.0,14.0,77.17969844802981,3.0508608111413196,3.0508608111413196,0.7366546775121098,7.273778691946063,3.569100333905365,2.0454467573435977,2.0454467573435977,466.0,496.0,8.493755451874556,-7.273778691946063,26.87249083817005,-2.0454467573435977
152,476,21.0,786.0,14.0,77.5420320958924,2.9695156059114263,2.9695156059114263,0.7292254105115197,7.322021255269647,3.5740260553388894,1.9753824640574749,1.9753824640574749,462.0,492.0,8.457296131763941,-7.322021255269647,26.872718542814255,-1.9753824640574749
153,235,18.0,299.0,15.0,78.09772409179759,0.13969105631865705,-0.0495790191475531,0.15042531605035117,7.7850276585668325,2.9055737925469387,-0.06508758357085753,0.06508758357085753,386.0,406.0,6.96361435152446,-7.7850276585668325,26.88338515534997,0.06508758357085753
154,304,21.0,709.0,14.0,79.44801735790283,2.619310623598794,2.619310623598794,0.7106477030021157,7.564158424735069,3.612012370953304,1.6635972709045745,1.6635972709045745,444.0,472.0,8.30220255976475,-7.564158424735069,26.873707100749016,-1.6635972709045745
155,380,20.0,496.0,15.0,79.8650043051279,1.3161223423786752,1.3161223423786752,0.5118642930161196,7.795853555202484,3.3640903261950634,0.6688285284326412,0.6688285284326412,412.0,434.0,7.719868976283664,-7.795853555202484,26.877467438578606,-0.6688285284326412
156,475,17.0,212.0,16.0,79.8842357829761,0.536123243251953,-0.4570606251158856,0.3902707080657714,7.893229205212265,2.861203399213289,-0.4413702671372448,0.4413702671372448,366.0,384.0,6.816837589454965,-7.893229205212265,26.91949975118041,0.4413702671372448
